Name,Target Muscle,Type,MET Value,Description,Difficulty,Caution,Youtube Links
Quadruped Thoracic Rotation,Abdominals,Stretching,3.5,"1. Start on all fours in a tabletop position.  2. Place one hand behind your head.  3. Rotate your upper body, bringing the elbow under your body.  4. Then rotate upward toward the ceiling.  5. Repeat per side.",Beginner,None,
Standing hip extension,Glutes,Stretching,3.5,"1. Stand upright holding a sturdy surface for balance.  2. Shift weight to one leg and extend the opposite leg straight back.  3. Keep the movement slow and controlled, avoiding arching the back.  4. Squeeze glutes at the top.  5. Return and repeat per side.",Beginner,None,
Walking Glute Stretch,Glutes,Stretching,3.5,1. Stand upright and step forward with one leg.  2. Pull the opposite knee toward your chest with both hands.  3. Pause briefly to stretch the glute.  4. Release and step forward with the other leg.  5. Continue alternating.,Beginner,None,
Alternating standing glute stretch,Glutes,Stretching,3.5,1. Stand tall and cross your right ankle over your left thigh.  2. Sit back into a squat position while holding the stretch.  3. Balance and hold for a few seconds.  4. Return to standing and switch sides.,Beginner,None,
Goal Post to Squat,Quadriceps,Stretching,3.5,1. Stand with feet shoulder-width apart and arms in goal post position (elbows bent at 90°).  2. Lower into a squat while maintaining arm position.  3. Stand up and press arms upward.  4. Return to starting position.  5. Repeat.,Beginner,None,
Elbow plank,Abdominals,Core,3.8,1. Start on your forearms and toes with body in a straight line.  2. Keep elbows directly under shoulders.  3. Engage core and glutes.  4. Avoid dropping hips or raising your back.  5. Hold.,Beginner,Isometric Hold,
Lower Back Curl,Abdominals,Stretching,3.8,"1. Lie on your back with knees bent and feet flat.  2. Tilt your pelvis and slowly curl your lower back off the floor.  3. Pause briefly, engaging your abs.  4. Lower back down slowly.  5. Repeat.",Beginner,None,
Elbow-to-knee crunch,Abdominals,Core,3.8,1. Lie on your back with hands behind your head and knees bent.  2. Bring one elbow toward the opposite knee while lifting your shoulders.  3. Return to start and switch sides.  4. Alternate for total reps.,Beginner,None,
Side Bridge,Abdominals,Core,3.8,1. Lie on your side with elbow under shoulder.  2. Stack feet and lift hips off the ground.  3. Keep your body aligned.  4. Hold.,Intermediate,Isometric Hold,
Straight-Arm Plank,Abdominals,Core,3.8,1. Start in a push-up position with arms fully extended.  2. Keep your body in a straight line from head to heels.  3. Engage your core and avoid sagging hips.  4. Hold.,Beginner,Isometric Hold,
Bird-Dog Plank,Abdominals,Core,3.8,1. Begin in a high plank position.  2. Lift one arm and opposite leg simultaneously.  3. Hold briefly while keeping your core stable.  4. Return to plank and switch sides.,Intermediate,Isometric Hold,
Side-Plank Arm Wrap,Abdominals,Core,3.8,"1. Begin in a side plank position on your elbow.  2. Reach top arm under your body, rotating your torso.  3. Return to start and repeat. ",Intermediate,Isometric Hold,
Side Plank Pulse,Abdominals,Core,3.8,1. Get into a side plank position.  2. Slowly lower your hips slightly.  3. Pulse your hips upward in small controlled movements.,Intermediate,Isometric Hold,
Fire Hydrant,Abdominals,Core,3.8,1. Start on all fours with hands under shoulders and knees under hips.  2. Lift one leg out to the side while keeping the knee bent.  3. Pause at the top and lower.,Beginner,None,
Pushups,Chest,Strength,3.8,1. Start in a high plank position with hands shoulder-width apart.  2. Lower your body toward the floor by bending your elbows.  3. Keep your body in a straight line.  4. Push back up to start.,Beginner,None,
T-Spine Rotation with Reach,Abdominals,Stretching,3.8,"1. Start on all fours.  2. Place one hand behind your head.  3. Rotate your elbow toward the ceiling, opening your chest.  4. Return to starting position.",Beginner,None,
Glute Kickback,Glutes,Strength,3.8,"1. Start on all fours.  2. Extend one leg straight back, keeping the knee bent.  3. Squeeze glutes at the top.  4. Lower with control.",Beginner,None,
Alternating Slow Step-Down With Chair,Glutes,Strength,3.8,1. Stand on a sturdy chair or step.  2. Slowly lower one leg toward the floor.  3. Tap the floor lightly with your heel.  4. Return to start and switch legs.,Beginner,None,
Hamstring Slide,Hamstrings,Strength,3.8,1. Lie on your back with feet on sliders or towels.  2. Lift hips into a glute bridge.  3. Slowly extend legs out while keeping hips off the ground.  4. Slide feet back in and repeat.,Intermediate,None,
Back extension,Lower Back,Core,4,1. Lie face down on a mat with arms at your sides or crossed over your chest.  2. Engage your lower back and lift your chest off the ground.  3. Keep your head in a neutral position.  4. Hold briefly at the top.  5. Lower down slowly and repeat.,Beginner,None,
Superman,Lower Back,Core,4,"1. Lie face down with arms extended in front of you.  2. Simultaneously lift arms, chest, and legs off the ground.  3. Squeeze glutes and lower back at the top.  4. Hold for 1–2 seconds.  5. Lower back down and repeat.",Beginner,None,
Knee Up-Down,Abdominals,Cardio,4,1. Start in a high plank position.  2. Lower one arm at a time to your forearms into a low plank.  3. Push back up one arm at a time to high plank.  4. Keep core engaged and body straight.,Beginner,HIIT,
Walking Butt Kicks,Glutes,Cardio,4,"1. Stand upright and begin walking forward.  2. With each step, kick your heel toward your glutes.  3. Swing arms naturally as you walk.",Beginner,"Plyometric, HIIT",
Walking High Knees,Glutes,Cardio,4,1. Stand tall with arms at your sides.  2. Lift one knee toward your chest as you walk forward.  3. Swing the opposite arm forward.  4. Alternate knees with each step.,Beginner,"Plyometric, HIIT",
Wall Sit,Quadriceps,Cardio,4,1. Stand against a wall and slide down into a seated position.  2. Keep thighs parallel to the floor and knees over ankles.  3. Hold the position with back flat against the wall.  4. Keep core tight.,Intermediate,Isometric Hold,
Lateral Squats,Quadriceps,Cardio,4,"1. Stand with feet wider than shoulder-width.  2. Shift your weight to one side, bending the knee while keeping the other leg straight.  3. Push back to center.  4. Repeat on the other side.",Intermediate,None,
Reverse crunch,Abdominals,Core,4,1. Lie on your back with hands under hips.  2. Bend knees at 90 degrees.  3. Lift hips off the floor by curling knees toward chest.  4. Lower back down with control.,Beginner,None,
Front Step,Abdominals,Strength,4,1. Stand tall facing a step or bench.  2. Step one foot onto the platform.  3. Press through the heel to lift your body up.  4. Step back down and switch legs.,Beginner,None,
Russian twist,Abdominals,Core,4,"1. Sit on the floor with knees bent and feet off the ground.  2. Lean back slightly and clasp hands together.  3. Twist your torso to one side, then the other.  4. Keep your core tight.",Beginner,None,
Lying Oblique Crunch,Abdominals,Core,4,1. Lie on your side with knees slightly bent.  2. Place the top hand behind your head.  3. Crunch sideways toward your hip.  4. Squeeze your obliques at the top.  5. Lower down and repeat.,Beginner,None,
Push-Up Plank Hold,Abdominals,Core,4,1. Begin in a high push-up position.  2. Keep hands under shoulders and body in a straight line.  3. Engage your core and glutes.,Intermediate,Isometric Hold,
Alternating Lying Leg Raise,Abdominals,Core,4,1. Lie on your back with hands under hips.  2. Lift one leg off the floor to 45 degrees while the other stays down.  3. Lower and switch legs.,Beginner,None,
Side-Plank with Hip Touch,Abdominals,Core,4,1. Get into a side plank position.  2. Lower your hip toward the ground and lightly tap.  3. Raise back to plank.  4. Repeat.,Intermediate,Isometric Hold,
Slow Mountain Climber,Abdominals,Core,4,1. Start in a high plank position.  2. Bring one knee toward your chest slowly.  3. Return to plank and alternate legs.  4. Continue with controlled movement.,Beginner,None,
Hollow-Body Pulse,Abdominals,Core,4,1. Lie on your back with legs extended and arms overhead.  2. Lift your shoulders and legs off the ground.  3. Pulse arms and legs up and down slightly.  4. Keep core tight.,Intermediate,Isometric Hold,
Crab Walk,Abdominals,Strength,4,1. Sit on the floor with hands and feet flat.  2. Lift hips off the ground into a reverse tabletop position.  3. Walk forward using opposite hand and foot.  4. Then walk backward.,Beginner,None,
Right Side Hollow Hold with Pulse,Abdominals,Core,4,1. Lie on your right side with legs extended and stacked.  2. Raise both legs off the ground and lift shoulders slightly.  3. Keep core tight and body in a slight curve.  4. Pulse legs up and down a few inches.,Intermediate,Isometric Hold,
Left Side Hollow Hold with Pulse,Abdominals,Core,4,1. Lie on your left side with legs extended and stacked.  2. Raise both legs off the floor and lift shoulders slightly.  3. Hold a slight hollow shape with core engaged.  4. Pulse legs gently.,Intermediate,Isometric Hold,
Leg Lift,Abdominals,Core,4,1. Lie on your back with arms at your sides.  2. Keep legs straight and raise them toward the ceiling.  3. Pause at the top.  4. Slowly lower back down without touching the floor.,Beginner,None,
Flat Bench Leg Raise,Abdominals,Core,4,1. Lie flat on a bench with legs extended off the end.  2. Hold the bench behind your head for support.  3. Lift legs until vertical.  4. Lower slowly to starting position.,Intermediate,None,
Hollow-Body Hold,Abdominals,Core,4,1. Lie on your back with arms overhead and legs extended.  2. Lift shoulders and legs off the floor into a banana shape.  3. Engage core and keep lower back pressed to floor. 4. Hold.,Intermediate,Isometric Hold,
Windmills,Abdominals,Mobility,4,1. Stand with feet wide apart and arms extended to sides.  2. Twist your torso and reach right hand toward left foot.  3. Return to center and switch sides.  4. Repeat per side.,Beginner,None,
Towel Straight Plank Hand Reach,Abdominals,Core,4,"1. Get into a straight-arm plank position.  2. Place a towel or slider under one hand.  3. Slide that hand forward, then pull it back.  4. Keep core tight and hips stable.  5. Alternate sides.",Intermediate,None,
Elbow Plank Swim,Abdominals,Core,4,1. Start in an elbow plank position.  2. Reach one arm forward in a swimming motion.  3. Return it to the ground and switch arms.  4. Keep your core braced and back flat.,Intermediate,Isometric Hold,
Seated Knee Pull-In Series,Abdominals,Core,4,1. Sit on the floor with legs extended and hands behind for support.  2. Pull both knees toward your chest.  3. Extend them back out without touching the floor.,Beginner,None,
Ab Tuck,Abdominals,Core,4,1. Sit on the edge of a bench or mat.  2. Bring knees to chest while leaning torso forward.  3. Extend legs and torso outward without touching the ground.,Beginner,None,
Squat Pulse,Quadriceps,Strength,4,1. Stand with feet shoulder-width apart.  2. Lower into a squat position.  3. Stay at the bottom and pulse up and down a few inches.  4. Keep weight in heels and back straight.,Intermediate,None,
Kick-Out,Abductors,Strength,4,"1. Sit on the floor with knees bent and hands behind you.  2. Lift feet slightly off the ground.  3. Extend both legs out, then pull back in.  4. Keep abs tight and controlled.",Intermediate,None,
Alternating Step-Up With Chair,Hamstrings,Strength,4,"1. Stand in front of a sturdy chair or step.  2. Step up with one foot, then bring the other foot up.  3. Step back down and repeat with the opposite leg.",Beginner,None,
Single-leg glute bridge,Glutes,Core,4,1. Lie on your back with one leg bent and the other extended.  2. Push through the bent leg to lift your hips.  3. Squeeze glutes at the top.  4. Lower down and repeat.  5. Switch legs after a few reps.,Intermediate,None,
Hip Thrust,Glutes,Core,4,"1. Sit on the ground with your back against a bench.  2. Place feet flat on the ground, shoulder-width apart.  3. Drive hips upward, squeezing glutes.  4. Lower hips back down and repeat.",Intermediate,None,
Decline Push-Up,Chest,Strength,4.5,"1. Place feet on a bench or elevated surface.  2. Hands should be on the ground, slightly wider than shoulder-width.  3. Lower your chest to the ground.  4. Push back up to starting position.",Advanced,None,
Bottoms Up,Abdominals,Core,4.5,1. Lie flat on your back with legs pointed straight up.  2. Use your lower abs to lift your hips toward the ceiling.  3. Keep movement small and controlled.  4. Lower with control.,Intermediate,None,
Full Moon,Biceps,Core,4.5,"1. Stand with feet hip-width apart and arms extended forward.  2. Move arms in a large circular motion, mimicking a ""full moon.""  3. Engage core as you go around.  4. Reverse direction after a few reps.",Beginner,None,
Bear Crawl Hold,Full body,Core,4.5,1. Start on hands and knees with knees hovering off the floor.  2. Keep back flat and core engaged.  3. Hold position without letting knees touch.,Intermediate,Isometric Hold,
Hollow-Body Rock,Abdominals,Core,4.5,1. Lie on your back in a hollow-body position with arms extended overhead and legs slightly off the ground.  2. Engage your core and rock back and forth like a boat.  3. Keep your lower back pressed to the floor.,Advanced,None,
Hollow-Body Abduction,Abdominals,Core,4.5,"1. Begin in a hollow-body hold position.  2. With legs lifted, move them apart to a wide V.  3. Bring legs back together slowly.  4. Keep arms extended and core tight. ",Advanced,None,
Prison Push-Up,Abdominals,Strength,4.5,"1. Get into a standard push-up position.  2. Lower your chest toward the floor.  3. Push back up and raise one knee to your chest.  4. Repeat, alternating legs.",Advanced,None,
Toy Soldier,Abdominals,Stretching,4.5,1. Stand tall with arms extended in front.  2. Kick your right leg up toward your left hand.  3. Lower and switch sides.  4. Keep core tight and back straight.,Beginner,None,
Isometric Wipers,Chest,Core,4.5,"1. Lie flat on your back with legs extended upward.  2. Hold your arms out wide on the floor for balance.  3. Lower legs to one side slowly while keeping shoulders down.  4. Return to center and hold.  5. Alternate sides, holding each position briefly.",Intermediate,Isometric Hold,
Cocoons,Abdominals,Core,4.5,1. Lie on your back with arms and legs extended.  2. Bring knees to chest and wrap arms around them.  3. Return to the starting position.  4. Keep movement controlled and core tight.,Intermediate,None,
Butt-Ups,Abdominals,Core,4.5,1. Start in a forearm plank position.  2. Raise your hips toward the ceiling to form an inverted V.  3. Lower hips back into plank.  4. Engage core throughout.,Intermediate,None,
Leg Pull-In,Abdominals,Core,4.5,"1. Sit on a bench or mat with hands behind for support.  2. Extend legs out and lean back slightly.  3. Pull knees to your chest, then extend again.  4. Keep abs tight.",Beginner,None,
Side Jackknife,Abdominals,Core,4.5,1. Lie on your side with legs stacked and one hand behind your head.  2. Simultaneously raise upper leg and torso to meet.  3. Lower and repeat.  4. Complete all reps on one side before switching.,Intermediate,None,
Knee-to-Nose Pulse,Abdominals,Core,4.5,"1. Start in a downward dog or plank position.  2. Bring one knee toward your nose.  3. Pulse gently forward without touching the floor.  4. Repeat, then switch sides.",Intermediate,None,
Hollow-Body Knee Tuck,Abdominals,Core,4.5,1. Begin in a hollow-body hold.  2. Tuck both knees toward your chest.  3. Extend legs back to the hollow position.  4. Keep your shoulders and feet off the floor.,Intermediate,None,
Side-Plank with Kick,Abdominals,Core,4.5,1. Get into a side plank position.  2. Extend top leg and lift it as high as possible.  3. Lower the leg back down with control.  4. Keep hips elevated throughout.,Intermediate,Isometric Hold,
Prison Sit-Up,Abdominals,Core,4.5,1. Sit with knees bent and hands behind your head.  2. Perform a controlled sit-up without using momentum.  3. Keep elbows wide and core engaged.  4. Lower back down slowly.,Intermediate,None,
Plank Alternating Hip-Dip,Abdominals,Core,4.5,1. Start in a forearm plank position.  2. Rotate hips and dip one side toward the floor.  3. Return to center and switch sides.  4. Keep core tight and movement controlled.,Intermediate,None,
Feet-Elevated Bench Side Plank,Abdominals,Core,4.5,"1. Lie on your side with your feet elevated on a bench.  2. Place forearm on the floor and lift your hips into a side plank.  3. Keep your body in a straight line.  4. Hold, then switch sides.",Advanced,Isometric Hold,
Alternating Single-Leg Pike,Abdominals,Core,4.5,1. Start in a downward dog position.  2. Lift your right leg high toward the ceiling.  3. Lower the leg and repeat on the left side.  4. Keep your core tight and movement smooth.,Intermediate,None,
Straight Plank Hand Tap to Shoulder Tap,Abdominals,Core,4.5,1. Begin in a straight-arm plank position.  2. Tap your right hand to the floor in front of you.  3. Return and tap your right hand to your left shoulder.  4. Alternate hands.  5. Keep hips steady throughout.,Intermediate,None,
Alternating Diagonal Knee Pull-In,Abdominals,Core,4.5,1. Begin in a high plank position.  2. Drive your right knee toward your left elbow.  3. Return to plank and switch legs.  4. Maintain a tight core and straight back.,Beginner,None,
Elbow Plank with Step-Out,Abdominals,Core,4.5,1. Begin in a forearm plank position.  2. Step your right foot out to the side.  3. Return it to center and repeat with the left foot.  4. Keep your torso still and hips level.,Intermediate,Isometric Hold,
Hands-Elevated Straight Plank Pike,Abdominals,Core,4.5,1. Start in a straight-arm plank with hands on a bench or step.  2. Push your hips up toward the ceiling into a pike position.  3. Lower back into plank.  4. Keep your core engaged.,Intermediate,Isometric Hold,
Diagonal Right Leg Step-Out to Right Knee-Up,Glutes,Cardio,4.5,1. Stand tall and step your right leg diagonally behind you.  2. Push off the back foot and bring your right knee up toward your chest.  3. Return to starting position.  4. Repeat for reps before switching sides.,Intermediate,None,
Squat with Alternating Side Leg Raise,Quadriceps,Cardio,4.5,"1. Stand with feet hip-width apart.  2. Perform a bodyweight squat.  3. As you rise, lift your right leg to the side.  4. Alternate legs with each squat.",Intermediate,None,
Side Lunge Cross-Body Heel-Touch,Abdominals,Strength,4.5,1. Step your right leg out to a side lunge.  2. Reach your left hand across to touch your right heel.  3. Push off and return to standing.  4. Repeat on the opposite side.,Intermediate,None,
Straight Plank Pike,Abdominals,Core,4.5,1. Start in a straight-arm plank position.  2. Lift your hips up toward the ceiling into a pike position.  3. Lower back down slowly.  4. Engage your core throughout.,Intermediate,None,
Side Kick,Quadriceps,Cardio,4.5,1. Stand tall with hands in front of chest.  2. Shift your weight to your left leg.  3. Kick your right leg out to the side.  4. Lower it down with control and repeat.,Intermediate,None,
Crab Reach to Crab Kick,Abdominals,Strength,4.5,1. Sit in a crab position with hands behind you and hips lifted.  2. Reach your left arm across your body while lifting your hips.  3. Return to crab and kick your right leg up.  4. Alternate sides.,Intermediate,"Plyometric, HIIT",
Glute Bridge Step-Out,Abdominals,Strength,4.5,"1. Lie on your back with knees bent and feet hip-width apart.  2. Lift hips into a bridge.  3. Step one foot out to the side, then return.  4. Alternate legs while keeping hips lifted. ",Beginner,None,
Single-Leg Inchworm,Abdominals,Strength,4.5,1. Stand on one leg and reach your hands toward the floor.  2. Walk your hands forward into a plank.  3. Walk hands back and stand up.  4. Switch legs after reps.,Intermediate,None,
Boat Pull-Over,Abdominals,Strength,4.5,1. Sit in boat pose with legs raised and core tight.  2. Hold a light weight or object overhead.  3. Pull it slowly down toward your knees.  4. Return to overhead.,Intermediate,None,
Lunge with Overhead Reach,Abdominals,Strength,4.5,"1. Step forward into a lunge.  2. Reach both arms overhead.  3. Hold briefly, then return to standing.  4. Alternate legs.",Beginner,None,
Right Side Elbow Plank with Left Leg Swing,Abdominals,Core,4.5,1. Get into a right-side elbow plank.  2. Raise and swing your left leg forward and backward.  3. Keep hips stable and core tight.,Advanced,Isometric Hold,
Left Side Elbow Plank with Right Leg Swing,Abdominals,Core,4.5,1. Begin in a left-side elbow plank position.  2. Lift your right leg and swing it forward and backward.  3. Keep hips steady and core engaged.  5. Switch sides if desired.,Advanced,Isometric Hold,
Straight Plank with Alternating Diagonal Sit-Back,Abdominals,Core,4.5,"1. Start in a straight-arm plank position.  2. Push your hips back diagonally toward your right heel.  3. Return to center, then push toward the left heel.  4. Keep arms extended and core tight.",Advanced,None,
Close push-up to wide push-up,Chest,Strength,4.5,1. Begin in a push-up position with hands close together.  2. Perform a close-grip push-up.  3. Walk hands outward to wide position.  4. Perform a wide push-up.,Intermediate,None,
Scapular push-up,Chest,Strength,4.5,"1. Start in a straight-arm plank.  2. Without bending elbows, squeeze shoulder blades together.  3. Push them apart to return to starting position.  4. Maintain a straight back. 5. Perform slow reps.",Beginner,None,
Supine Double Pike,Abdominals,Core,4.5,1. Lie on your back with legs extended and arms overhead.  2. Simultaneously lift your arms and legs to meet in the middle.  3. Reach hands toward toes in a pike position.  4. Lower slowly.,Advanced,None,
Feet-elevated bench dip,Triceps,Strength,4.5,"1. Place hands on a bench behind you, feet elevated on another surface.  2. Lower your body by bending your elbows.  3. Push back up to starting position.  4. Keep elbows close to your body.",Intermediate,None,
Wall Shoulder Tap,Shoulders,Strength,4.5,1. Face a wall and assume a standing or inclined plank.  2. Lift one hand to tap the opposite shoulder.  3. Alternate sides.  4. Keep body straight and hips stable.,Intermediate,None,
Return Push from Stance,Shoulders,Strength,4.5,1. Begin in a split stance with arms extended forward.  2. Push off the front foot and return to standing.  3. Control the movement and keep posture upright.  4. Alternate sides.,Intermediate,None,
Forward lunge,Quadriceps,Strength,4.5,1. Stand tall with feet hip-width apart.  2. Step forward with one leg and lower until both knees are at 90°.  3. Push off the front foot to return.  4. Alternate legs.,Beginner,None,
Single-leg glute bridge,Glutes,Strength,4.5,"1. Lie on your back with one knee bent, other leg extended.  2. Lift your hips by pressing through the heel.  3. Squeeze glutes at the top.  4. Lower slowly and repeat.",Intermediate,None,
Alternating Donkey Kick,Glutes,Strength,4.5,"1. Get on all fours with knees under hips.  2. Kick your right leg upward, keeping knee bent.  3. Lower and switch legs.  4. Keep your core tight.",Beginner,None,
Alternating Side Iron Cross,Glutes,Strength,4.5,1. Lie on your back with arms extended.  2. Lift one leg and rotate it across your body toward the opposite hand.  3. Return and repeat with the other leg.  4. Keep shoulders down.,Intermediate,None,
Lateral Lunge,Quadriceps,Strength,4.5,"1. Stand tall, feet hip-width apart.  2. Step out to the side with your right leg, lowering into a lunge.  3. Push off and return to center.  4. Alternate sides. ",Intermediate,None,
Squat with Alternating Leg Extension,Quadriceps,Strength,4.5,"1. Stand with feet shoulder-width apart.  2. Perform a squat.  3. As you rise, extend one leg straight out in front.  4. Alternate legs each rep.",Intermediate,None,
Single-Leg Deadlift Walk,Hamstrings,Core,4.5,1. Stand tall with feet hip-width apart.  2. Hinge at the hips while lifting one leg straight behind you.  3. Reach toward the ground with both hands.  4. Step forward and repeat on the other leg in a walking motion.,Intermediate,None,
Natural Glute Ham Raise,Hamstrings,Strength,4.8,1. Kneel on the floor with ankles anchored.  2. Slowly lower your torso forward from the knees while keeping your back straight.  3. Engage hamstrings and glutes to return to upright position.  4. Use arms for assistance if needed.,Advanced,None,
Eiffel Tower Leg Raise,Abdominals,Core,4.8,1. Lie on your back with legs straight and arms extended overhead in a “V” shape.  2. Raise legs upward while bringing arms toward toes.  3. Keep core tight and lower with control.  4. Return to starting position.,Advanced,None,
Plank Fire Hydrants,Abdominals,Core,4.8,"1. Start in a forearm plank position.  2. Lift one leg out to the side, keeping knee bent.  3. Lower it back with control.  4. Alternate sides while maintaining plank form.",Intermediate,None,
Seated Scissor Kick,Abdominals,Core,4.8,"1. Sit with hands slightly behind you, legs extended off the ground.  2. Alternate crossing your legs over and under each other in a scissor motion.  3. Keep your core tight and back straight throughout.",Intermediate,HIIT,
Shoulder Tap to Hand Tap,Abdominals,Core,4.8,"1. Start in a plank position.  2. Tap one hand to the opposite shoulder.  3. Then reach down and tap the opposite hand.  4. Alternate sides, keeping hips stable.",Intermediate,None,
Inchworm,Abdominals,Strength,4.8,"1. Stand tall, then bend at the hips and walk your hands forward into a plank.  2. Perform a brief hold, then walk feet toward hands.  3. Return to standing and repeat.",Beginner,None,
Step-up with knee raise,Glutes,Strength,4.8,1. Stand in front of a bench or platform.  2. Step up with one foot and drive the opposite knee upward.  3. Step down and alternate legs.  4. Keep your torso upright.,Beginner,None,
Side Kick-Through,Abdominals,Cardio,5,1. Start in a tabletop position on hands and feet.  2. Rotate your hips and kick one leg under and through to the opposite side.  3. Return to center and switch sides.,Advanced,"Plyometric, HIIT",
Single-Leg V-Up,Abdominals,Core,5,1. Lie flat with arms extended overhead.  2. Lift one leg and reach both hands toward the foot.  3. Lower and repeat on the opposite leg.  4. Keep core activated throughout.,Advanced,None,
Elbow Plank Saw,Abdominals,Core,5,1. Begin in an elbow plank position.  2. Rock your body forward and backward using your toes.  3. Keep your body straight and core tight throughout the motion.,Advanced,Isometric Hold,
Feet-Elevated Straight Plank Toe-Tap Series,Abdominals,Core,5,"1. Get into a straight-arm plank with feet elevated on a bench.  2. Tap one foot to the side, then return.  3. Alternate sides.  4. Maintain a tight core and flat back.",Advanced,Isometric Hold,
Spider crawl,Abdominals,Cardio,5,1. Begin in a plank position.  2. Step one foot outside the same-side hand.  3. Alternate steps forward while keeping hips low and hands on the ground.,Intermediate,"Mobility, HIIT",
Elbow Plank to Stacked Plank Hip Drop,Abdominals,Core,5,"1. Start in an elbow plank.  2. Transition to a side plank by stacking your feet and rotating your torso.  3. Drop the hips slightly, then lift them back.  4. Return to center and switch sides.",Advanced,Isometric Hold,
Hands-Elevated Hill Climber,Abdominals,Cardio,5,1. Place hands on an elevated surface in plank position.  2. Drive one knee toward the chest.  3. Alternate legs quickly while keeping core tight.  4. Maintain a flat back throughout.,Beginner,HIIT,
Feet-Elevated Plank Reach,Abdominals,Core,5,1. Begin in a straight-arm plank with feet elevated.  2. Reach one hand forward without rotating the hips.  3. Return and alternate sides.  4. Maintain full-body tension and control.,Advanced,Isometric Hold,
V-up,Abdominals,Core,5,1. Lie on your back with legs straight and arms overhead.  2. Simultaneously lift legs and arms to form a “V” shape.  3. Reach hands toward toes.  4. Lower with control and repeat.,Intermediate,None,
Pillar-to-Plank,Abdominals,Core,5,1. Start in a high kneeling “pillar” position.  2. Step one foot out at a time into plank.  3. Reverse to return to kneeling.  4. Keep movements controlled and abs engaged.,Intermediate,None,
Knee-In to V-Out,Abdominals,Core,5,"1. Begin in a seated position with hands behind you.  2. Pull knees to chest, then extend legs out in a V shape.  3. Return and repeat.  4. Keep back straight and abs engaged.",Intermediate,None,
Side V-Up,Abdominals,Core,5,"1. Lie on your side with legs stacked and one arm extended.  2. Lift both legs and upper body, reaching toward your feet.  3. Lower with control.  4. Repeat on the same side before switching.",Intermediate,None,
Flutter Kick,Abdominals,Core,5,1. Lie on your back with legs extended.  2. Lift legs slightly off the ground and alternate quick kicks.  3. Keep core engaged and lower back flat.  4. Continue without letting feet touch the floor.,Beginner,None,
Ab bicycle,Abdominals,Core,5,1. Lie on your back with hands behind your head.  2. Bring one elbow toward the opposite knee while extending the other leg.  3. Alternate sides in a pedaling motion.  4. Engage abs and avoid pulling the neck.,Beginner,HIIT,
Feet-Elevated Hand Tap,Abdominals,Core,5,1. Assume a straight-arm plank with feet elevated.  2. Tap one hand to the opposite shoulder or floor.  3. Alternate taps while maintaining a stable core.  4. Keep body straight and hips level.,Intermediate,None,
In-Out Straight Plank,Abdominals,Core,5,"1. Begin in a straight-arm plank.  2. Jump or step feet apart, then back together.  3. Keep hips low and core tight.  4. Maintain a steady pace with control.",Intermediate,None,
Elbow Plank to Walk-Up Pike,Abdominals,Core,5,"1. Start in an elbow plank.  2. Walk feet toward hands, lifting hips into a pike.  3. Walk back to plank.  4. Keep core tight and movements smooth.",Intermediate,Isometric Hold,
Hovering Panther Core Stabilizer,Abdominals,Core,5,"1. Begin on hands and knees with toes tucked.  2. Lift knees slightly off the ground into a hover.  3. Hold this position, keeping back flat and core tight.  4. Breathe steadily.",Intermediate,Isometric Hold,
Alternating Leg 7-Up Crunch,Abdominals,Core,5,"1. Lie on your back with legs straight.  2. Raise one leg and crunch upward, reaching both arms toward the raised leg.  3. Lower and switch sides.  4. Keep movement controlled and core engaged.",Intermediate,None,
Alternating Diagonal Straight Plank,Abdominals,Core,5,1. Begin in a straight-arm plank.  2. Lift one arm and opposite leg simultaneously in a diagonal direction.  3. Return and alternate sides.  4. Maintain balance and core stability.,Intermediate,None,
Reverse lunge,Hamstrings,Strength,5,1. Stand tall with feet together.  2. Step one foot back and lower into a lunge.  3. Return to standing and alternate legs.  4. Keep front knee aligned with ankle.,Intermediate,None,
Neck Bridge Prone,Middle Back,Strength,5,"1. Lie on your stomach with hands near shoulders.  2. Push your torso up and place the top of your head on the floor.  3. Press into the floor and raise your body, arching your back.  4. Keep tension through your neck and spine.",Advanced,None,
Curtsy lunge,Glutes,Strength,5,1. Stand with feet hip-width apart.  2. Step one leg diagonally behind the other and lower into a lunge.  3. Return to standing and alternate legs.  4. Keep torso upright.,Intermediate,None,
Sumo Squat,Quadriceps,Strength,5,"1. Stand with feet wider than shoulder-width, toes slightly out.  2. Lower your hips straight down.  3. Keep chest lifted and knees tracking over toes.  4. Rise back up with control.",Intermediate,None,
Bootstrapper Squat,Quadriceps,Strength,5,"1. Begin in a deep squat, grabbing your toes.  2. Extend your legs to raise hips while keeping hands on toes.  3. Return to deep squat and repeat.  4. Maintain a flat back.",Intermediate,None,
Spider Lunge,Quadriceps,Strength,5,1. Begin in a plank position.  2. Step one foot outside your hand and lower hips.  3. Return and switch sides.  4. Keep back flat and core tight.,Intermediate,None,
Crossover Reverse Lunge,Lower Back,Strength,5,1. Stand tall with feet hip-width apart.  2. Step one leg behind and across your body.  3. Lower into a lunge and return.  4. Alternate sides.,Intermediate,None,
Prisoner Squat,Quadriceps,Stretching,5,"1. Stand with feet shoulder-width apart, hands behind your head.  2. Lower into a squat while keeping elbows back.  3. Push through heels to return up.  4. Keep torso upright.",Intermediate,None,
